indicator,gdp_growth_per_capita,gdp_growth_per_capita,gdp_growth_per_capita,gdp_growth_per_capita,gdp_growth_per_capita,gdp_growth_per_capita,electricity_consumption,electricity_consumption,electricity_consumption,electricity_consumption,electricity_consumption,electricity_consumption,population_growth,population_growth,population_growth,population_growth,population_growth,population_growth,urbanization_rate,urbanization_rate,urbanization_rate,urbanization_rate,urbanization_rate,urbanization_rate,energy_use_per_capita,energy_use_per_capita,energy_use_per_capita,energy_use_per_capita,energy_use_per_capita,energy_use_per_capita,fossil_fuel_consumption,fossil_fuel_consumption,fossil_fuel_consumption,fossil_fuel_consumption,fossil_fuel_consumption,fossil_fuel_consumption,renewable_energy_gap,renewable_energy_gap,renewable_energy_gap,renewable_energy_gap,electricity_access,electricity_access,electricity_access,electricity_access,electricity_access,electricity_access,political_stability,political_stability,political_stability,political_stability,political_stability,political_stability,regulatory_quality,regulatory_quality,regulatory_quality,regulatory_quality,regulatory_quality,regulatory_quality,rule_of_law,rule_of_law,rule_of_law,rule_of_law,rule_of_law,rule_of_law,control_of_corruption,control_of_corruption,control_of_corruption,control_of_corruption,control_of_corruption,control_of_corruption,energy_imports,energy_imports,energy_imports,energy_imports,energy_imports,energy_imports,alternative_nuclear_energy,alternative_nuclear_energy,alternative_nuclear_energy,alternative_nuclear_energy,alternative_nuclear_energy,alternative_nuclear_energy
KEN,3.52404781491717,3.07004769448449,-2.2103217118529,5.5651365159048,2.86281276489714,3.64425548577437,178.142110438668,175.810605144907,172.643819770653,184.426039295693,189.355465367737,190.082933008388,2.03083744189606,1.96381549826771,1.96197633664853,1.90040858948898,1.92297608206469,1.98296028478422,31.3940041639796,31.1895566421135,31.2063494632616,31.2879334021971,31.4307820066946,31.6330340816429,546.495296692888,543.883187157453,534.753957479746,539.778643234306,541.12804988998,544.940571966597,0.0,0.0,0.0,0.0,0.0,0.0,68.7,68.1,69.0,67.7,61.2,69.7,71.5,76.5,76.0,76.2,-1.17971229553223,-1.10576343536377,-1.00724005699158,-1.03243744373322,-0.947280883789062,-0.937771916389465,-0.265344053506851,-0.338947534561157,-0.51719057559967,-0.460586369037628,-0.380829960107803,-0.390806585550308,-0.42828243970871,-0.464812368154526,-0.579112708568573,-0.42144787311554,-0.317989438772202,-0.326221644878387,-0.863009214401245,-0.806061267852783,-0.87534761428833,-0.734718978404999,-0.759503602981567,-0.770913004875183,23.1133767187919,22.909546251785,21.1289387202784,22.7369704105015,22.4376210703247,22.3745456763117,17.46,17.66,17.32,16.82,17.79,18.67
KHM,7.43177030242717,6.58272364852731,-4.96368199399319,1.57862051550094,3.74000920039251,3.66847775428445,553.380308189697,650.494645326608,705.929171274907,725.390524089204,813.232441120437,,1.24368277407927,1.26258301009769,1.47062988552696,1.47677836241244,1.33088813106016,1.28320677599476,37.6404336372742,39.5830241256026,39.832658030922,40.1091858128847,40.374616187368,40.6290788072508,440.94962587052,489.36782496618,516.116717657277,501.330977178892,501.644136152087,,0.0,0.0,0.0,0.0,0.0,,58.1,53.0,51.4,52.4,80.7,84.0,86.4,82.5,92.3,95.0,0.110921673476696,-0.0754886493086815,-0.209065958857536,-0.131522253155708,-0.0980230420827866,0.0444938205182552,-0.536904513835907,-0.609220564365387,-0.6611088514328,-0.686099588871002,-0.709801018238068,-0.684618413448334,-1.13500821590424,-0.954927742481232,-0.96412593126297,-0.919177949428558,-0.865880906581879,-0.819127440452576,-1.35710227489471,-1.32349991798401,-1.27204155921936,-1.19797551631927,-1.24161159992218,-1.29921674728394,,,60.5868013956178,58.9313079941395,,,5.98,4.62,4.34,5.95,6.86,
MAR,1.91410663270995,1.81642055572905,-8.13866950405836,7.0606299574828,0.779078150413596,2.58793464682357,923.0251541863,940.186570352384,916.187662173799,950.467605491107,978.27258674367,997.255419654568,1.1036421008163,1.03022315933698,1.02565486360782,1.00691847923959,1.00863622672701,1.02195181223548,61.5695822753314,61.8430450233765,62.0933436005366,62.3173276600289,62.5118468550703,62.673750838878,577.178572918036,614.502733565635,575.699296767116,616.051393306028,602.994477750907,600.64391286941,0.0,0.0,0.0,0.0,0.0,0.0,10.9,10.7,11.1,10.9,98.1,99.6,100.0,100.0,100.0,100.0,-0.3484927713871,-0.345805376768112,-0.359523236751556,-0.40256267786026,-0.362119138240814,-0.367761224508286,-0.259155303239822,-0.154595121741295,-0.0479148365557194,-0.133877843618393,-0.0868896543979645,-0.0642079934477806,-0.248644605278969,-0.23337709903717,-0.186950773000717,-0.243680879473686,-0.206644892692566,-0.127505928277969,-0.289455205202103,-0.333868354558945,-0.409950464963913,-0.41899362206459,-0.387477546930313,-0.536348581314087,96.2868283378303,92.4272836757783,90.7321703373659,91.3557010365519,94.0020118503931,93.6448805073888,3.37,3.85,3.79,4.23,3.74,4.92
MEX,1.01136621686764,-1.33462176883367,-9.10287154605422,5.34306679586261,2.93163505458958,2.45603364564664,2499.62048573796,2392.19041418722,2354.26835282225,2294.2518523653,2371.96646124361,2608.52187955737,0.9466023549862,0.950144329831411,0.820454117563552,0.66740537533078,0.753116988604166,0.872178517508623,78.0271223924494,78.355984332992,78.677960602824,78.9324007418057,79.199683215791,79.4734935748046,1493.47882156246,1469.65350320528,1366.42722558757,1417.70559078908,1525.73516114419,1559.78994657193,0.0,0.0,0.0,0.0,0.0,0.0,10.3,10.3,12.3,13.0,99.5,99.6,99.4,100.0,100.0,99.7,-0.673847019672394,-0.841869175434113,-0.791455745697021,-0.687615871429443,-0.689268112182617,-0.630761027336121,0.0843754634261131,0.0125951962545514,-0.0129100447520614,-0.251374453306198,-0.148309499025345,-0.171988308429718,-0.641221523284912,-0.657918453216553,-0.642182171344757,-0.807996511459351,-0.869425058364868,-0.806393921375275,-0.949163556098938,-0.917449772357941,-0.921630203723907,-1.02063989639282,-1.01208603382111,-1.02057874202728,16.7913179157596,18.2994397147,10.8895496628123,15.3117558234424,21.1050764879457,21.5843559520399,5.99,5.82,6.81,7.04,6.88,5.94
MYS,3.07401779071937,2.75950122381441,-6.7093351308522,2.13146199778431,7.73357563754043,2.26723785284469,4778.58945925229,4916.00089902704,4737.97858325564,4860.27830199398,4986.12312555985,,1.70174731907235,1.59646653343981,1.33363323143911,1.15251304394292,1.1977720012836,1.23402869169549,74.5634625145296,74.8377707734042,75.0511895575672,75.5088628191907,75.9741357073003,76.4434752105739,2839.45244829846,2878.2988852867,2722.6031659631,2793.49953523,2867.09651939173,,0.0,0.0,0.0,0.0,0.0,,5.3,5.7,7.0,7.5,100.0,100.0,100.0,100.0,100.0,100.0,0.248113676905632,0.14648012816906,0.125864699482918,0.0595565475523472,0.163117811083794,0.16851469874382,0.575907409191132,0.547572374343872,0.666613459587097,0.714465439319611,0.644006609916687,0.660894274711609,0.529206156730652,0.4915691614151,0.573119819164276,0.532065808773041,0.561419248580933,0.571915447711945,0.299851536750793,0.232962101697922,0.228581383824348,0.146233186125755,0.248940765857697,0.295621365308762,-2.31632847100387,0.419441769978299,1.4599273272106,-0.739797820685311,-0.578726686040022,,2.47,2.46,2.73,2.97,2.88,
NGA,-0.406836852099559,-0.0100047593980293,-8.34242347930724,-0.988127022973842,2.15831410306673,1.18123657085347,139.617321282156,138.391346832216,141.081956971933,142.790930090716,135.603309430584,,2.31217263003389,2.1944019229433,2.13029714344341,2.09618685225463,2.09281687128387,2.09838916935738,58.1553347527729,58.9611186427056,59.7659654848781,60.5698545383604,61.3727650622225,62.1746763155343,299.750041448841,330.325537947057,323.130893205101,334.28545037693,333.060729584941,,0.0,0.0,0.0,0.0,0.0,,80.8,80.1,81.8,80.3,56.5,55.4,55.4,59.5,60.5,61.2,-2.09752702713013,-1.93315482139587,-1.89201462268829,-1.78738462924957,-1.77890145778656,-1.7684383392334,-0.878198742866516,-0.940476417541504,-1.02443432807922,-0.944378197193146,-1.15594470500946,-0.936865150928497,-0.917605757713318,-0.938441932201385,-0.842042088508606,-0.870812594890594,-0.913985073566437,-0.887689292430878,-1.08386242389679,-1.11317050457001,-1.11856710910797,-1.10122787952423,-1.12968230247498,-1.04097437858582,-170.338239044965,-145.342625520286,-111.878018224454,-82.2970757618261,-66.2881011856041,,1.08,1.05,0.97,0.95,1.08,
PER,2.1018453903506,0.502286291227506,-11.989123385761,12.2777396432111,1.82762015025182,-1.49255980889144,1536.51135459037,1561.29701768941,1413.12448385784,1531.64376685862,1588.44822284327,,1.81253577188754,1.71486934751345,1.19250495254373,0.961612354333265,0.959183909355287,1.09975320783678,82.6854929960921,83.1033003087105,83.5267437189637,83.9480118272361,84.3663554951194,84.7810255849745,783.890205846973,798.439603977568,666.666363333809,775.134628731113,826.705646687846,,0.0,0.0,0.0,0.0,0.0,,27.9,27.1,31.6,30.6,95.2,95.6,96.2,95.6,96.2,96.2,-0.276880770921707,-0.163622617721558,-0.35772293806076,-0.355252951383591,-0.487095445394516,-0.52178555727005,0.443382769823074,0.517202258110046,0.471264183521271,0.0637786462903023,0.20857498049736,0.292205184698105,-0.56674337387085,-0.520058035850525,-0.382843524217606,-0.532514691352844,-0.552831411361694,-0.538132667541504,-0.597973227500916,-0.509501397609711,-0.524636924266815,-0.653799653053284,-0.808002054691315,-0.721040904521942,4.91538634948173,4.68863793500811,-2.70251693778025,11.6063935673998,12.185965103062,,11.48,11.38,13.17,11.71,10.24,
PHL,5.03429067114457,4.83577546655691,-10.5488615065624,4.76163916254069,6.76595410569132,4.66769736279124,829.103019663211,866.813544333681,820.957907826593,846.694921660693,884.680258485773,,1.23686033319068,1.21615534645287,1.1455140860985,0.905660310915421,0.760479216015364,0.810000998681961,53.2088897464754,53.7157859948017,54.1077719895977,54.4504102510776,54.7902343568327,55.1242716168851,554.498283533215,551.866549795025,518.156775784154,530.987980701231,550.793803994865,,0.0,0.0,0.0,0.0,0.0,,27.6,26.9,29.1,28.0,94.2,95.3,96.4,97.5,94.8,98.0,-1.09620380401611,-0.9280606508255,-0.778704285621643,-0.984022319316864,-0.655268549919128,-0.566050469875336,0.0287664085626602,0.100199609994888,0.113156676292419,0.0623732283711433,0.0627855956554413,0.16425496339798,-0.565135478973389,-0.57440197467804,-0.652070105075836,-0.666802585124969,-0.518263161182404,-0.41814711689949,-0.576294243335724,-0.606206953525543,-0.510658323764801,-0.530111014842987,-0.541212201118469,-0.537639975547791,54.0743638042794,48.6161448916357,47.0174525151428,49.9057625438824,54.4250767667774,,16.45,16.48,17.35,16.05,16.05,
SEN,3.27615846996514,1.80892290260792,-1.29147593329481,3.8734325976821,1.31913435017567,1.79788238969797,271.6391054245,310.52554399758,312.164609920211,329.600129888931,399.521774928173,410.176742198745,2.8004569855314,2.71760793051867,2.63303572524896,2.53848919398481,2.46764281803509,2.38738348832592,48.9001692274485,49.9443321273477,51.0562950093282,52.2260292191155,53.4435061024348,54.6992276190794,274.379032674082,298.559525125339,280.607903309744,294.173427358174,315.965932815121,291.050601075038,0.0,0.0,0.0,0.0,0.0,0.0,34.2,36.2,38.7,35.4,66.0,70.4,64.3,68.0,67.9,74.2,-0.107357509434223,0.0375764071941376,-0.143102943897247,-0.179771110415459,-0.157593667507172,-0.138591378927231,-0.147642567753792,-0.175264254212379,-0.294217169284821,-0.322730869054794,-0.296521306037903,-0.345079481601715,-0.224594131112099,-0.215208232402802,-0.320803761482239,-0.398609578609467,-0.268764853477478,-0.273632854223251,-0.0473760962486267,-0.00357197062112391,-0.00729532772675157,0.0423106253147125,-0.0131743038073182,0.0578322261571884,70.323978098796,70.1843816195644,62.0675494808567,66.4285714285714,69.3863916678086,69.030995787333,0.5,0.62,1.1,1.62,1.53,1.58
THA,3.90762624173355,1.90583495758329,-6.20637326420599,1.43062175645008,2.56894316437668,2.06455231923211,2700.1763433937,2774.0170610634,2673.06020629053,2722.00282034748,2828.55049009394,2965.2131060821,0.302929452489855,0.204609851692418,0.166540794566251,0.119758274714782,0.0111485454856964,-0.0458651887192549,54.5843734741211,55.9266166687012,57.2358779907227,58.5087776184082,59.742374420166,60.9341926574707,1951.8556356188,1989.81234226863,1884.35073727402,1848.06336093307,1867.46968312053,1851.27231424167,0.0,0.0,0.0,0.0,0.0,0.0,23.7,23.9,20.9,19.0,99.8,99.9,100.0,100.0,99.9,100.0,-0.799416124820709,-0.491406112909317,-0.578270494937897,-0.56877988576889,-0.393339306116104,-0.280302882194519,-0.0440966561436653,-0.0219450928270817,0.0636607557535172,0.0835350751876831,0.165019407868385,0.158257782459259,-0.00403118878602982,0.0887417942285538,0.111505389213562,0.0937988311052322,0.0657474175095558,0.244872748851776,-0.458226591348648,-0.47199535369873,-0.483811765909195,-0.478870928287506,-0.452444344758987,-0.489050775766373,51.1007781069847,48.6312117750796,51.2390033904315,53.4974617478355,57.1245185678327,57.5142566317877,0.87,0.93,0.83,0.87,0.97,1.02
TZA,2.24213027557943,2.71005881950599,-0.998987836780785,1.25401761079502,1.54299792361155,2.08099243052513,110.956072067997,114.964301328413,112.148371475424,120.92869930568,123.470486172843,,3.15572113764533,2.98060939385811,2.99305168844906,3.00113934816488,2.95046658393064,2.90250073555304,32.8287423010834,33.3475258518752,33.8547246036273,34.3500111758619,34.8234736377147,35.4748019434954,402.924862138835,414.545616952925,405.685641474926,404.468789265296,405.146314827946,,0.0,0.0,0.0,0.0,0.0,,81.3,80.4,80.8,78.3,34.9,37.7,39.9,42.7,45.8,48.3,-0.580475687980652,-0.388420015573502,-0.480807662010193,-0.33555868268013,-0.260344117879868,-0.0527516007423401,-0.640993356704712,-0.668204069137573,-0.68933516740799,-0.640137732028961,-0.563533365726471,-0.588394701480865,-0.573051035404205,-0.567784249782562,-0.615206003189087,-0.551462709903717,-0.462281912565231,-0.373498290777206,-0.475951611995697,-0.420570701360703,-0.405753612518311,-0.39461013674736,-0.354882270097733,-0.319897323846817,12.790612470264,13.1368354638669,12.9523057284495,13.7175290346047,12.9338562520213,,0.84,0.88,1.1,1.05,0.93,
VNM,6.28095828201967,6.32464886581907,1.91581434772165,1.66651604176819,7.7256990880817,4.36194957647844,2115.35402394159,2290.2681069016,2303.70986644863,2403.54540306818,2624.40089303185,,1.10791395242199,0.968366698803348,0.927434295850725,0.868883560805873,0.750756665157789,0.671429250652247,33.9410227821412,34.6239134999511,35.5706676299742,36.6540656426603,37.5478515625,38.1298904418945,885.646841787765,987.27147244039,991.281232485165,962.199524881189,1023.0571362687,,0.0,0.0,0.0,0.0,0.0,,24.3,20.4,18.9,24.2,100.0,99.4,99.8,100.0,100.0,99.8,0.0330829620361328,0.0399874038994312,-0.0389890633523464,-0.117782436311245,-0.0461320951581001,-0.0363807342946529,-0.372491270303726,-0.375260800123215,-0.236916333436966,-0.404661357402802,-0.429956316947937,-0.382607728242874,-0.0354671441018581,-0.050392884761095,-0.189501881599426,-0.172221630811691,-0.158469453454018,-0.0854718759655952,-0.511843025684357,-0.546221077442169,-0.374517351388931,-0.308163285255432,-0.287254333496094,-0.415814280509949,26.8530098738827,39.207047800102,46.4252856536063,33.9749706257745,33.9991947830939,,8.43,6.42,7.38,9.91,11.25,
